recreational,A,26,1,adj,娯楽の,relaxative,recreational activities during the vacation,,
budget,A,26,2,noun,予算,financial plan,cut the annual budget,,
luxury,A,26,3,noun,ぜいたく,profusion,the luxuries of the rich,,
income,A,26,4,noun,収入,earnings,a gap between income and expenses,,
imply,A,26,5,verb,暗示する，ほのめかす,implicate,His silence implied agreement.,,
inequality,A,26,6,noun,不平等,imbalance,the inequality between the rich and the poor,,
selective,A,26,7,adj,選択的な；選択能力のある,elective,a new type created through slective breeding,,
greet,A,26,8,verb,迎え入れる；挨拶する,welcome,greet the prize winner with applause,,
praise,A,26,9,verb,称賛する,admire,praise an achievement,,
breath,A,26,10,noun,息，呼吸,breathing,breath alcohol test,,
system,A,26,11,noun,制度，体制,establishment,a social security system,,
physician,A,26,12,noun,医者，内科医,doctor,consult a physician,,
treatment,A,27,1,noun,取り扱い；治療,handling,equal treatment for men and women,,
accidental,A,27,2,adj,不慮の，偶然の,incidental,an accidental death,,
pill,A,27,3,noun,錠剤,tablet,a sleeping pill,,
poet,A,27,4,noun,詩人,writer of verse,quote a poet,,
existence,A,27,5,noun,存在,being,believe in the existence after death,,
distant,A,27,6,adj,遠い；離れた,remote,distant future,,
volcano,A,27,7,noun,火山,,eruption of a volcano,,
court,A,27,8,noun,裁判所,judicatory,the Supreme Court,,
latter,A,27,9,adj,後の,posterior,latter half of the century,,
desert,A,27,10,noun,砂漠；不毛の土地,sands,turn to desert,,
partronage,A,27,11,noun,後援,sponsorship,under the patronage of,,
nuclear,A,27,12,adj,原子力の,atomic,nuclear weapons,,
resident,A,28,1,noun,移住者，在住者,inhabitant,,,
concentration,A,28,2,noun,集中,convergence,,,
volatile,A,28,3,adj,発揮性の,explosive,,,
territory,A,28,4,noun,領土，領域,realm,,,
uncomfortable,A,28,5,adj,心地よくない；気詰まりな,unpleasant,,,
thermometer,A,28,6,noun,温度計，寒温計,"heat
indicator",,,
interior,A,28,7,adj,内部の,internal,,,
bounce,A,28,8,verb,跳ね返す；跳ね返る,rebound,,,
spring,A,28,9,noun,泉；湧水,fountain,,,
seed,A,28,10,noun,種（たね）,pip,,,
grain,A,28,11,noun,穀物；粒子,cereal,,,
equator,A,28,12,noun,赤道,"equatorial
line",,,
alarmingly,A,29,1,adv,驚くほどに,surprisingly,finish in an alarmingly short time,驚くほど短時間で終える,
radically,A,29,2,adv,根本的に；過激に,fundaentally,be radically different from his idea,彼の意見と根本から異なる,
exceptionally,A,29,3,adv,並外れて；例外的に,extraordinally,an exceptionally talented artist,並外れた才能のある芸術家,
positive,A,29,4,adj,肯定的な，前向きの；楽観的な,affirmative,feel positive about the new policy,新方針を前向きに受け止める,
bandage,A,29,5,noun,包帯,dressing,apply a bandage to a wound,傷に包帯をする,
valuable,A,29,6,adj,貴重な；高価な,precious,offer valuable lesson,貴重な教訓を与える,invaluableも「貴重な」の意味
tale,A,29,7,noun,物語,story,fairy tales,おとぎ話,
up-to-date,A,29,8,adj,最新の,latest,provide up-to-date information,最新情報を提供する,cutting-edgeも同義語．state-of-the-artは「技術が最先端の」。
frustration,A,29,9,noun,欲求不満；挫折,discontent,get rid of the frustration,欲求不満を解消する,
lead,A,29,10,verb,導く；仕向ける,conduce,lead a person to success,人を成功に導く,
mentally,A,29,11,adv,精神的に,spiritually,be mentally and physically exhausted,心身ともに疲れ果てている,
lease,A,29,12,verb,賃借する；賃貸する,let,lease the land from a famer,農民から土地を借りる,
